FIVE COLUMNS ANALYSIS (ONLY IF APPROPRIATE)
PLAN STAGE,,,,,,,,,EVALUATE STAGE,
Decision-Maker,# Seats,"""++""","""+""","""0""","""-""","""--""",Target (Y/N),Comments,Vote (Y/N),Comments
"Mike Tapp (Labour, Dover and Deal)",,0,0,0,0,1,,"CONFLICTING SIGNALS - review all evidence | 2026-09-11 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide-2026 side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Third Reading [--: Tracker sign-off (assisted-suicide side no): Approved the Bill as a whole, sending it to the House of Lords; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 24 [--: Tracker sign-off (assisted-suicide side aye): Opposed removing the Mental Capacity Act presumption of capacity; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 16 [--: Tracker sign-off (assisted-suicide side aye): Opposed adding this eligibility exclusion to the Bill; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [--: Tracker sign-off (assisted-suicide side aye): Opposed extending the opt-out to organisations and employers; free vote] | 2024-11-29 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote] | WAVERING: backed our side in 2 votes",,
"Mr Alex Barros-Curtis (Labour, Cardiff West)",,0,0,0,0,1,,"2026-09-11 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide-2026 side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Third Reading [--: Tracker sign-off (assisted-suicide side no): Approved the Bill as a whole, sending it to the House of Lords; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 24 [--: Tracker sign-off (assisted-suicide side aye): Opposed removing the Mental Capacity Act presumption of capacity; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 16 [--: Tracker sign-off (assisted-suicide side aye): Opposed adding this eligibility exclusion to the Bill; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 2 [--: Tracker sign-off (assisted-suicide side aye): Opposed the ban on raising assisted suicide with under-18s; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 1 [--: Tracker sign-off (assisted-suicide side aye): Opposed the restriction, leaving doctors able to raise assisted suicide with patients; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-06-13 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [-: MP backs amendments improving accessibility of assisted dying process, supporting the Bill's passage] | 2025-05-16 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [--: Tracker sign-off (assisted-suicide side aye): Opposed extending the opt-out to organisations and employers; free vote] | 2024-11-29 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote]",,
"Mr Calvin Bailey (Labour, Leyton and Wanstead)",,0,0,0,0,1,,"2026-09-11 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide-2026 side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Third Reading [--: Tracker sign-off (assisted-suicide side no): Approved the Bill as a whole, sending it to the House of Lords; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 24 [--: Tracker sign-off (assisted-suicide side aye): Opposed removing the Mental Capacity Act presumption of capacity; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 2 [--: Tracker sign-off (assisted-suicide side aye): Opposed the ban on raising assisted suicide with under-18s; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 1 [--: Tracker sign-off (assisted-suicide side aye): Opposed the restriction, leaving doctors able to raise assisted suicide with patients; free vote] | 2025-05-16 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [--: Tracker sign-off (assisted-suicide side aye): Opposed extending the opt-out to organisations and employers; free vote] | 2024-11-29 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote]",,
"Mr Clive Betts (Labour, Sheffield South East)",,0,0,0,0,1,,"2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Third Reading [--: Tracker sign-off (assisted-suicide side no): Approved the Bill as a whole, sending it to the House of Lords; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 24 [--: Tracker sign-off (assisted-suicide side aye): Opposed removing the Mental Capacity Act presumption of capacity; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 16 [--: Tracker sign-off (assisted-suicide side aye): Opposed adding this eligibility exclusion to the Bill; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 2 [--: Tracker sign-off (assisted-suicide side aye): Opposed the ban on raising assisted suicide with under-18s; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 1 [--: Tracker sign-off (assisted-suicide side aye): Opposed the restriction, leaving doctors able to raise assisted suicide with patients; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [--: Tracker sign-off (assisted-suicide side aye): Opposed extending the opt-out to organisations and employers; free vote] | 2024-11-29 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote]",,
"Mr Connor Rand (Labour, Altrincham and Sale West)",,0,0,0,0,1,,"2026-09-11 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide-2026 side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote] | 2025-12-03 DEBATE: Spoke:  Terminal Illness: Mental Health Support (re: Terminally Ill Adults) ""I would be grateful if the Minister would meet Mike and me to discuss Mike’s policy recommendations in more detail and to see if they could form part of the Government’s welcome review of palliative care services and the framework that has been announced. It..."" [-: States personal support for the assisted dying legislation while raising palliative care concerns] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Third Reading [--: Tracker sign-off (assisted-suicide side no): Approved the Bill as a whole, sending it to the House of Lords; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2024-11-29 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote]",,
"Mr Douglas Alexander (Labour (Co-op), Lothian East)",,0,0,0,0,1,,"2026-09-11 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide-2026 side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Third Reading [--: Tracker sign-off (assisted-suicide side no): Approved the Bill as a whole, sending it to the House of Lords; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 24 [--: Tracker sign-off (assisted-suicide side aye): Opposed removing the Mental Capacity Act presumption of capacity; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 16 [--: Tracker sign-off (assisted-suicide side aye): Opposed adding this eligibility exclusion to the Bill; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 2 [--: Tracker sign-off (assisted-suicide side aye): Opposed the ban on raising assisted suicide with under-18s; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 1 [--: Tracker sign-off (assisted-suicide side aye): Opposed the restriction, leaving doctors able to raise assisted suicide with patients; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [--: Tracker sign-off (assisted-suicide side aye): Opposed extending the opt-out to organisations and employers; free vote]",,
"Mr Hamish Falconer (Labour, Lincoln)",,0,0,0,0,1,,"2026-09-11 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide-2026 side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Third Reading [--: Tracker sign-off (assisted-suicide side no): Approved the Bill as a whole, sending it to the House of Lords; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 24 [--: Tracker sign-off (assisted-suicide side aye): Opposed removing the Mental Capacity Act presumption of capacity; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 16 [--: Tracker sign-off (assisted-suicide side aye): Opposed adding this eligibility exclusion to the Bill; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 2 [--: Tracker sign-off (assisted-suicide side aye): Opposed the ban on raising assisted suicide with under-18s; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 1 [--: Tracker sign-off (assisted-suicide side aye): Opposed the restriction, leaving doctors able to raise assisted suicide with patients; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [--: Tracker sign-off (assisted-suicide side aye): Opposed extending the opt-out to organisations and employers; free vote] | 2024-11-29 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote]",,
"Mr Jonathan Brash (Labour, Hartlepool)",,0,0,0,0,1,,"2026-09-11 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide-2026 side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Third Reading [--: Tracker sign-off (assisted-suicide side no): Approved the Bill as a whole, sending it to the House of Lords; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 24 [--: Tracker sign-off (assisted-suicide side aye): Opposed removing the Mental Capacity Act presumption of capacity; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 16 [--: Tracker sign-off (assisted-suicide side aye): Opposed adding this eligibility exclusion to the Bill; free vote] | 2025-05-16 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [--: Tracker sign-off (assisted-suicide side aye): Opposed extending the opt-out to organisations and employers; free vote] | 2024-11-29 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote]",,
"Mr Luke Charters (Labour, York Outer)",,0,0,0,0,1,,"CONFLICTING SIGNALS - review all evidence | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Third Reading [--: Tracker sign-off (assisted-suicide side no): Approved the Bill as a whole, sending it to the House of Lords; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 24 [--: Tracker sign-off (assisted-suicide side aye): Opposed removing the Mental Capacity Act presumption of capacity; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 16 [--: Tracker sign-off (assisted-suicide side aye): Opposed adding this eligibility exclusion to the Bill; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 1 [--: Tracker sign-off (assisted-suicide side aye): Opposed the restriction, leaving doctors able to raise assisted suicide with patients; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [--: Tracker sign-off (assisted-suicide side aye): Opposed extending the opt-out to organisations and employers; free vote] | 2024-11-29 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote]",,
"Mr Toby Perkins (Labour, Chesterfield)",,0,0,0,0,1,,"CONFLICTING SIGNALS - review all evidence | 2026-09-11 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide-2026 side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Third Reading [--: Tracker sign-off (assisted-suicide side no): Approved the Bill as a whole, sending it to the House of Lords; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 24 [--: Tracker sign-off (assisted-suicide side aye): Opposed removing the Mental Capacity Act presumption of capacity; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 16 [--: Tracker sign-off (assisted-suicide side aye): Opposed adding this eligibility exclusion to the Bill; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 1 [--: Tracker sign-off (assisted-suicide side aye): Opposed the restriction, leaving doctors able to raise assisted suicide with patients; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [--: Tracker sign-off (assisted-suicide side aye): Opposed extending the opt-out to organisations and employers; free vote] | 2025-05-16 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [-: Intervention implies palliative care delay is no reason to block assisted dying Bill] | 2025-05-16 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [-: Criticises opponents' tactics, implicitly supporting assisted dying bill's passage] | 2024-11-29 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote]",,
"Mrs Sharon Hodgson (Labour, Washington and Gateshead South)",,0,0,0,0,1,,"2024-11-29 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote]",,
"Ms Stella Creasy (Labour (Co-op), Walthamstow)",,0,0,0,0,1,,"2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Third Reading [--: Tracker sign-off (assisted-suicide side no): Approved the Bill as a whole, sending it to the House of Lords; free vote] | 2025-06-17 DEBATE: Spoke: Crime and Policing Bill ""Those of us who recognise that reproductive rights are the foundation of social justice know that now is the time to act. If we are not free to control what happens to our bodies, we cannot be free in the rest of our lives. Those who are playing politics with..."" [--: Defends repeal of abortion offences, supporting decriminalisation clause 20] | 2025-06-17 DEBATE: Spoke: Crime and Policing Bill ""I want to start with how the new clause would do that. I want to be clear that only this new clause would provide for decriminalisation. Decriminalisation, as defined by Marie Stopes, means removing abortion from the criminal law so that it is no longer..."" [--: Proposes new clause to decriminalise abortion, directly opposing pro-life position] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 2 [--: Tracker sign-off (assisted-suicide side aye): Opposed the ban on raising assisted suicide with under-18s; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: New Clause 1 [--: Tracker sign-off (assisted-suicide side aye): Opposed the restriction, leaving doctors able to raise assisted suicide with patients; free vote] | 2025-06-13 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [--: Tracker sign-off (assisted-suicide side aye): Opposed extending the opt-out to organisations and employers; free vote] | 2024-11-29 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote]",,
"Nadia Whittome (Labour, Nottingham East)",,0,0,0,0,1,,"CONFLICTING SIGNALS - review all evidence | 2026-09-11 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide-2026 side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Third Reading [--: Tracker sign-off (assisted-suicide side no): Approved the Bill as a whole, sending it to the House of Lords; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [--: Tracker sign-off (assisted-suicide side aye): Opposed extending the opt-out to organisations and employers; free vote] | 2024-11-29 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Second Reading [--: Tracker sign-off (assisted-suicide side no): Supported the Bill continuing to its next stage (in principle, in favour of legalising assisted suicide for terminally ill adults in England and Wales); free vote] | WAVERING: backed our side in 3 votes",,
